module,source_table,source_csv,The recipe,Source file count,Source file changed count,Cumulative scanning time,99th percentile scanning time,Max scanning time,Cumulative edit time,99th percentile edit time,Max edit time
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-33-10-973/org.openrewrite.table.RecipeRunStats.csv,The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,99 out of 100 scans completed in this amount of time.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,99 out of 100 edits completed in this amount of time.,The max time editing any one source file.
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-33-10-973/org.openrewrite.table.RecipeRunStats.csv,org.openrewrite.java.RemoveUnusedImports,15,0,0,0.0,0,8200,0.99,1400
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-33-10-973/org.openrewrite.table.RecipeRunStats.csv,org.openrewrite.java.search.FindTypes,45,0,0,0.0,0,33600,0.99,5600
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-33-10-973/org.openrewrite.table.RecipeRunStats.csv,org.openrewrite.java.ChangeType,15,0,0,0.0,0,7600,0.99,1300
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-33-10-973/org.openrewrite.table.RecipeRunStats.csv,com.misys.rewrite.Torque3ToTorque7,15,0,0,0.0,0,15600,0.99,9800
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-34-40-104/org.openrewrite.table.RecipeRunStats.csv,The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,99 out of 100 scans completed in this amount of time.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,99 out of 100 edits completed in this amount of time.,The max time editing any one source file.
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-34-40-104/org.openrewrite.table.RecipeRunStats.csv,com.misys.rewrite.DetectTorque3AndVillageReferences,16,0,0,0.0,0,13600,0.99,8000
.,org.openrewrite.table.RecipeRunStats,target/rewrite/datatables/2026-03-27_21-34-40-104/org.openrewrite.table.RecipeRunStats.csv,org.openrewrite.java.search.FindTypes,144,0,0,0.0,0,59500,0.99,4700
