sha256,canonical_path,first_repo,first_branch,first_seen_commit
96adc674357a3292db0c17309cf5d9442fbf9c24d1dd1b32323e04abb0de159c,Python\main\apps\turbine_services_comparison.html,Python,main,
a98253453c4af1f8e5493a3993a4cb7ee74cc837c4db35906f4825328771203a,Python\GoogleAntiGraviryProjets\apps\.gitignore,Python,GoogleAntiGraviryProjets,
25168427cc9f77c1c39f88218ce8cfe96858a2cad32acd9fe6640c7184eeb7db,Python\GoogleAntiGraviryProjets\docs\BankingAgents\ANALYSIS.md,Python,GoogleAntiGraviryProjets,
1520d3069494b045ade69992c9ee3f05649a0e22cb6ec1f6a8d5611042febfc3,Python\GoogleAntiGraviryProjets\docs\BankingAgents\WALKTHROUGH.md,Python,GoogleAntiGraviryProjets,
25225a0667c045a2bbd5d85a3b9409e7bd7635725a00f942d643bb1a635f95d0,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\agents\__init__.py,Python,GoogleAntiGraviryProjets,
4417f7fb7a8476d749877e620d68d50beee91e1721e5ba9a2f022eb6a5b24b0f,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\agents\batch.py,Python,GoogleAntiGraviryProjets,
12c4afdb36aa805d3b6f7a75198c6fbf12b521715d2143efada0095b6e1368c6,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\agents\compliance.py,Python,GoogleAntiGraviryProjets,
cb389d26cc7d1f0b77c56b2666b4868ef9a80b453ff4cde6f6a062c11d0cc808,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\agents\support.py,Python,GoogleAntiGraviryProjets,
bfa8037d7dc220f81043c383379f33e6867e270287ce2b7dadec5fbb58259d24,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\config.py,Python,GoogleAntiGraviryProjets,
b653a8a895d58cb5676b0d06318ed6da949a6f0bb93753022196177a72f5f23f,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\main.py,Python,GoogleAntiGraviryProjets,
146ceef0faeb26be73485f531ebb381d70361a398479b0417b0ee6c450d4e811,Python\GoogleAntiGraviryProjets\modules\python\BankingAgents\tools\mocks.py,Python,GoogleAntiGraviryProjets,
4f920d269a019ce2737817b2c6ee27f111cb8ff57b8fab0195394fc4cbd38896,Python\GoogleAntiGraviryProjets\docs\Bitbucket\Bitbucket_Implementation_Guide.md,Python,GoogleAntiGraviryProjets,
7308bd88c905ef2d69612c5bb0fe4fe9b179b029ef533cade1f3bb3de06cebe4,Python\GoogleAntiGraviryProjets\modules\python\Bitbucket\branch_auditor.py,Python,GoogleAntiGraviryProjets,
bcb99ce4cffdfcf1736b62f5a615624de9384d9e4308e09e89ba95ffb0883e5d,Python\GoogleAntiGraviryProjets\modules\js-ts\Bitbucket\config.json,Python,GoogleAntiGraviryProjets,
361fe4e87b89a332b8c980752663138b8cf6ca7da75cad20fb7fe95ca177c487,Python\GoogleAntiGraviryProjets\apps\Bitbucket\reports\branch_integrity_report.csv,Python,GoogleAntiGraviryProjets,
45092c92ad62ea82ba345812b3ff0a4474770741f0b6a627b2fe38f42f92c3e6,Python\GoogleAntiGraviryProjets\apps\Bitbucket\reports\branch_integrity_report.html,Python,GoogleAntiGraviryProjets,
751eced530ef3f6bf75ddbcd1ef452a54e4a9a4beab53eb147906f46b80477f5,Python\GoogleAntiGraviryProjets\docs\BitbucketAudit\README.md,Python,GoogleAntiGraviryProjets,
36e0f5b41dabfc18ce4f8e12e480d22e33d3b71fc036c8f05da929828def9b76,Python\GoogleAntiGraviryProjets\modules\js-ts\BitbucketAudit\audit_config.json,Python,GoogleAntiGraviryProjets,
3d8cda4368be47860ef4552a288727c7dc83fce490f9b1fc6fe646762b8423a4,Python\GoogleAntiGraviryProjets\apps\BitbucketAudit\audit_report.html,Python,GoogleAntiGraviryProjets,
8b5ae58bd28d7da2915042de8224e270e6c8f1fe60f143104ad85692860500b6,Python\GoogleAntiGraviryProjets\apps\BitbucketAudit\audit_report_20260212_0736.html,Python,GoogleAntiGraviryProjets,
a7115990f68e6d207b453870ccc875504f258d082687d661ff56f05ae0c7b944,Python\GoogleAntiGraviryProjets\modules\python\BitbucketAudit\branch_auditor.py,Python,GoogleAntiGraviryProjets,
6ddf52fe18621312c9b1ffd49f46e806e7b11f61eb79bdc56738eb665fbb20dc,Python\GoogleAntiGraviryProjets\docs\DebuggingAndImpactAnalysis\Debugging_Impact_Analysis_Guide.md,Python,GoogleAntiGraviryProjets,
f04f2a245d6321d42eb872accdce9f20388754db36f3f7486e6f7445b0ae1d0f,Python\GoogleAntiGraviryProjets\apps\Housekeep\TurbineResources.properties,Python,GoogleAntiGraviryProjets,
6ff06611a28dc7df8182bdcd3f89cfab754d47be19671573e4ddb05a2bba44d2,Python\GoogleAntiGraviryProjets\apps\Housekeep\TurbineResources_clean.properties,Python,GoogleAntiGraviryProjets,
9403706e48fde06511b5fd35e02de8ec5886c95c12881f564984782f02a68b80,Python\GoogleAntiGraviryProjets\modules\python\Housekeep\cleanPropertyFile.py,Python,GoogleAntiGraviryProjets,
